id,sn,sn_2,date,title,link
135,足纪字[2018]057号,,,关于对青岛黄海赛区（青岛黄海足球俱乐部队）违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180516/23048.html
136,足纪字[2018]056号,,,关于对青岛黄海足球俱乐部队违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180516/23047.html
137,足纪字[2018]055号,,,关于对重庆当代力帆足球俱乐部斯威u19队球员蔡松烨违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180516/23046.html
138,足纪字[2018]054号,,,关于对重庆当代力帆足球俱乐部斯威队官员保罗·本托违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180516/23045.html
139,足纪字[2018]053号,,,关于对梅州市梅县区铁汉足球俱乐部铁汉生态队球员穆里奇违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180516/23044.html
140,足纪字[2018]052号,,,关于对青岛黄海足球俱乐部队球员王飞违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180516/23043.html
141,足纪字[2018]051号,,,关于对浙江绿城足球俱乐部队球员迪诺违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180516/23042.html
142,足纪字[2018]050号,,,关于对青岛黄海足球俱乐部队球员王栋违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180516/23041.html
143,足纪字[2018]049号,,,关于对延边富德足球俱乐部队球员蔡清锡违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180515/23028.html
144,足纪字[2018]048号,,,关于对延边富德足球俱乐部队官员李迪违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180511/23000.html
145,足纪字[2018]047号,,,关于对上海上港集团足球俱乐部队球员傅欢违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180511/22999.html
146,足纪字[2018]046号,,,关于对天津泰达足球俱乐部队球员乔纳森违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180504/22992.html
147,足纪字[2018]045号,,,关于对天津泰达足球俱乐部队球员黄永志违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180504/22991.html
148,足纪字[2018]044号,,,关于对内蒙古盛乐蒙羊足球俱乐部队官员Cederique违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180504/22990.html
149,足纪字[2018]043号,,,关于对武汉卓尔职业足球俱乐部队官员任忠新违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180504/22989.html
150,足纪字[2018]042号,,,关于对上海绿地申花足球俱乐部队违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180427/22970.html
151,足纪字[2018]041号,,,关于对大连博阳足球俱乐部千兆队球员韩学庚违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180427/22969.html
152,足纪字[2018]040号,,,关于对辽宁足球俱乐部沈阳宏运队球员倪玉崧违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180427/22968.html
153,足纪字[2018]039号,,,关于对新疆足球协会-U17-足球队违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180427/22967.html
154,足纪字[2018]038号,,,关于对新疆足球协会-U17-足球队球员帕依组拉、伊力扎特、阿布力克木、伊卜拉伊木、官员排合尔丁违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180427/22966.html
155,足纪字[2018]037号,,,关于对上海绿地申花足球俱乐部队违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180427/22965.html
156,足纪字[2018]036号,,,关于对上海绿地申花足球俱乐部队球员宋润潼、陈申吉违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180427/22964.html
157,足纪字[2018]035号,,,关于对大连超越足球俱乐部队官员邹鹏违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180427/22963.html
158,,,,关于在中国足协管辖范围内的正式比赛中执行浙足字〔2018〕18号文件的处理决定,http://www.thecfa.cn/cftz/20180419/22951.html
159,足纪字[2018]033号,,,关于对河北保定赛区（保定英利易通俱乐部容大队主场）违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180419/22950.html
160,足纪字[2018]032号,,,关于对北京控股足球俱乐部队官员程晓鹏违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180419/22949.html
161,足纪字[2018]031号,,,关于对延边富德足球俱乐部队球员古兹米奇违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180419/22948.html
162,足纪字[2018]030号,,,关于对青岛赛区（青岛黄海足球俱乐部队主场）违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180412/22929.html
163,足纪字[2018]029号,,,关于对青岛黄海足球俱乐部队违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180412/22928.html
164,足纪字[2018]028号,,,关于对辽宁足球俱乐部沈阳宏运队违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180412/22927.html
165,足纪字[2018]027号,,,关于对辽宁足球俱乐部沈阳宏运队球员冯伯元违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180412/22926.html
166,足纪字[2018]026号,,,关于对辽宁足球俱乐部沈阳宏运队官员袁哲违规违纪的处罚决定,http://www.thecfa.cn/cftz/20180412/22925.html
